genre,title,duration,url
로맨스,"𝐏𝐥𝐚𝐲𝐥𝐢𝐬𝐭 온 마음을 모아｜로맨스 판타지, 가사 없는 음악",3시간,https://www.youtube.com/watch?v=_iutav3U-IY
로맨스,"A collection of emotional piano music for dawn, very sad music, music for reading and studying.",3시간 10분 8초,https://www.youtube.com/watch?v=h4-3HLJ6w8g
로맨스,Playlist 나의 모든 계절을 당신에게,1시간 55초,https://www.youtube.com/watch?v=8i6BQE0_DNI
로맨스,[playlist] 책 읽을 때 듣기 좋은 가사없는 노래들. 잔잔한 힐링 플레이리스트.,33분 59초,https://www.youtube.com/watch?v=KeTtsEN4YM8
로맨스,[Playlist] 우리는 몇 장짜리 책일까,1시간 1분,https://www.youtube.com/watch?v=0NpgaSLubUg
로맨스,"[𝙋𝙡𝙖𝙮𝙡𝙞𝙨𝙩] 소설 읽을 때, 글 쓸때 듣는 과몰입 플리 1시간 반복",1시간 1분 25초,https://www.youtube.com/watch?v=SLQ6eG5jlks
로맨스,"10시간 책 읽을 때 듣기 좋은 힐링피아노 모음 🎵 북카페음악, 서점음악, 공부 할 때 듣는 음악, 독서음악",10시간 13분 13초,https://www.youtube.com/watch?v=bPXCOBL6x0s
로맨스,"(playlist) 그해 여름을 기억할게, 가사 없는 음악",1시간,https://www.youtube.com/watch?v=cvl14kVj1d0
로맨스,"[과몰입 ver] 소설 읽을 때, 글 쓸 때 듣기 좋은 피아노 플리 | Playlist |  사극판타지 | 영감",1시간 3분 30초,https://www.youtube.com/watch?v=zyuh4ihXRmo
로맨스,"[playlist] 푸른 빛 속으로 뛰어들 수 있었으면, 책읽을 때 듣기좋은 가사없는 음악",1시간 52초,https://www.youtube.com/watch?v=2l2xQpgkPzc
