genre,title,duration,url
기타,교보문고 플레이리스트 | 공부란 무엇인가,2시간 1분 23초,https://www.youtube.com/watch?v=y-kwu134W28
기타,[playlist] 독서를 더 특별하게 만드는 재즈 음악 모음 | Book & JAZZ,2시간 16분 51초,https://www.youtube.com/watch?v=fS-glIMAoUM
기타,Playlist 마음에 여백을 두는 일,2시간 1분 31초,https://www.youtube.com/watch?v=HbAQP29d1Tc
기타,교보문고 플레이리스트 | The Scent of Page feat. hibi,1시간 23분 23초,https://www.youtube.com/watch?v=tQl-xYFLu34
기타,Playlist | Book Jazz📚,10시간 39분 43초,https://www.youtube.com/watch?v=WXJgoBxMKVU
기타,【𝐩𝐥𝐚𝐲𝐥𝐢𝐬𝐭】Reading music in a quiet country bookstore,43분 58초,https://www.youtube.com/watch?v=E12QM-a9TFk
기타,"relaxing autumn jazz instrumental ☕ music for study, chill, work",1시간 15분 55초,https://www.youtube.com/watch?v=tqf-JKxzKx0
기타,[Playlist] 독서할 때 듣는 집중력 높이는 음악 🎶 (중간광고없음) | Book & Jazz | 공부 책 업무 작업,7시간 58분 14초,https://www.youtube.com/watch?v=0QmTzpr7qGY
기타,[playlist] 책 읽을 때 듣기 좋은 가사없는 노래들. 잔잔한 힐링 플레이리스트.,33분 59초,https://www.youtube.com/watch?v=KeTtsEN4YM8
기타,Cat Bookstore l Playlist for slow reading days,2시간 21초,https://www.youtube.com/watch?v=xjOG0beBrgM
